date,session_key,meeting_key,lap_number,driver_number,pit_duration,lane_duration,stop_duration
2025-06-01T13:12:13.654000+00:00,9971,1262,6,23,30.823,30.823,11.4
2025-06-01T13:14:49.875000+00:00,9971,1262,8,87,22.009,22.009,2.6
2025-06-01T13:19:35.821000+00:00,9971,1262,8,22,21.868,21.868,2.3
2025-06-01T13:16:07.039000+00:00,9971,1262,9,27,22.233,22.233,2.7
2025-06-01T13:16:24.654000+00:00,9971,1262,9,55,30.547,30.547,10.8
2025-06-01T13:17:27.032000+00:00,9971,1262,10,10,22.224,22.224,2.4
2025-06-01T13:21:17.088000+00:00,9971,1262,13,1,21.869,21.869,2.5
2025-06-01T13:23:12.878000+00:00,9971,1262,14,43,22.491,22.491,2.8
2025-06-01T13:24:35.450000+00:00,9971,1262,15,14,22.782,22.782,3.1
2025-06-01T13:25:31.587000+00:00,9971,1262,16,44,21.957,21.957,2.2
2025-06-01T13:26:50.882000+00:00,9971,1262,17,16,21.863,21.863,2.1
2025-06-01T13:28:34.699000+00:00,9971,1262,18,30,22.039,22.039,2.5
2025-06-01T13:29:48.856000+00:00,9971,1262,19,6,21.769,21.769,2.5
2025-06-01T13:30:07.914000+00:00,9971,1262,19,5,22.041,22.041,2.1
2025-06-01T13:31:01.089000+00:00,9971,1262,20,63,21.739,21.739,2.2
2025-06-01T13:31:32.319000+00:00,9971,1262,20,31,22.554,22.554,2.8
2025-06-01T13:32:04.917000+00:00,9971,1262,21,4,22.454,22.454,3.0
2025-06-01T13:32:28.543000+00:00,9971,1262,21,12,22.234,22.234,2.5
2025-06-01T13:33:20.042000+00:00,9971,1262,22,81,21.858,21.858,2.2
2025-06-01T13:37:05.525000+00:00,9971,1262,24,22,22.056,22.056,2.4
2025-06-01T13:40:13.803000+00:00,9971,1262,26,23,37.674,37.674,16.9
2025-06-01T13:42:59.372000+00:00,9971,1262,29,1,21.933,21.933,2.3
2025-06-01T13:46:33.982000+00:00,9971,1262,31,10,22.006,22.006,2.1
2025-06-01T13:50:52.991000+00:00,9971,1262,34,55,22.346,22.346,3.0
2025-06-01T13:52:07.362000+00:00,9971,1262,35,87,22.27,22.27,2.9
2025-06-01T13:57:58.470000+00:00,9971,1262,40,16,21.893,21.893,2.3
2025-06-01T13:58:06.002000+00:00,9971,1262,39,43,22.119,22.119,2.4
2025-06-01T13:59:29.893000+00:00,9971,1262,41,63,21.752,21.752,2.3
2025-06-01T14:01:40.017000+00:00,9971,1262,42,14,22.242,22.242,2.8
2025-06-01T14:03:11.902000+00:00,9971,1262,43,31,22.468,22.468,2.7
2025-06-01T14:04:16.481000+00:00,9971,1262,44,30,22.127,22.127,2.3
2025-06-01T14:04:32.386000+00:00,9971,1262,44,22,21.822,21.822,2.4
2025-06-01T14:05:29.605000+00:00,9971,1262,45,27,21.849,21.849,2.5
2025-06-01T14:06:15.959000+00:00,9971,1262,46,44,24.416,24.416,4.9
2025-06-01T14:07:10.374000+00:00,9971,1262,47,1,21.802,21.802,2.4
2025-06-01T14:08:26.277000+00:00,9971,1262,48,4,21.863,21.863,2.3
2025-06-01T14:09:20.535000+00:00,9971,1262,48,6,22.019,22.019,2.4
2025-06-01T14:09:39.403000+00:00,9971,1262,49,81,21.838,21.838,2.2
2025-06-01T14:10:32.650000+00:00,9971,1262,49,12,23.457,23.457,3.8
2025-06-01T14:11:18.414000+00:00,9971,1262,49,5,22.953,22.953,3.4
2025-06-01T14:18:02.898000+00:00,9971,1262,55,81,22.748,22.748,3.3
2025-06-01T14:18:08.762000+00:00,9971,1262,55,4,23.562,23.562,3.9
2025-06-01T14:18:11.362000+00:00,9971,1262,55,1,22.197,22.197,2.4
2025-06-01T14:18:20.041000+00:00,9971,1262,54,14,22.216,22.216,2.6
2025-06-01T14:18:23.590000+00:00,9971,1262,54,87,22.765,22.765,3.4
2025-06-01T14:18:27.128000+00:00,9971,1262,54,22,22.283,22.283,2.5
2025-06-01T14:18:34.491000+00:00,9971,1262,55,16,22.383,22.383,2.8
2025-06-01T14:18:39.415000+00:00,9971,1262,55,63,23.167,23.167,3.5
2025-06-01T14:18:50.955000+00:00,9971,1262,55,44,22.83,22.83,2.7
2025-06-01T14:19:00.832000+00:00,9971,1262,54,43,21.874,21.874,2.1
2025-06-01T14:19:35.767000+00:00,9971,1262,55,6,21.841,21.841,2.5
2025-06-01T14:20:05.783000+00:00,9971,1262,55,10,22.818,22.818,3.0
2025-06-01T14:20:33.319000+00:00,9971,1262,55,55,21.984,21.984,2.8
2025-06-01T14:21:28.036000+00:00,9971,1262,56,27,21.904,21.904,2.7
