date,session_key,pressure,humidity,wind_direction,air_temperature,wind_speed,meeting_key,track_temperature,rainfall
2025-05-04T19:06:44.804000+00:00,10033,1012.0,68.0,34,26.5,0.8,1259,39.9,0
2025-05-04T19:07:44.839000+00:00,10033,1012.1,67.0,12,26.5,1.6,1259,40.6,0
2025-05-04T19:08:44.869000+00:00,10033,1012.2,68.0,343,26.6,1.9,1259,40.7,0
2025-05-04T19:09:44.857000+00:00,10033,1012.1,68.0,308,26.7,1.2,1259,41.7,0
2025-05-04T19:10:44.860000+00:00,10033,1012.3,68.0,313,26.8,1.4,1259,42.2,0
2025-05-04T19:11:44.893000+00:00,10033,1012.2,69.0,329,26.9,0.8,1259,42.1,0
2025-05-04T19:12:44.903000+00:00,10033,1012.3,66.0,283,26.9,1.6,1259,42.6,0
2025-05-04T19:13:44.912000+00:00,10033,1012.3,67.0,311,27.0,1.2,1259,43.2,0
2025-05-04T19:14:44.912000+00:00,10033,1012.2,66.0,309,27.0,2.0,1259,43.2,0
2025-05-04T19:15:44.923000+00:00,10033,1012.1,66.0,285,27.1,1.8,1259,43.1,0
2025-05-04T19:16:44.942000+00:00,10033,1012.1,67.0,328,27.1,1.0,1259,43.2,0
2025-05-04T19:17:44.943000+00:00,10033,1012.1,65.0,103,27.2,0.8,1259,42.7,0
2025-05-04T19:18:44.943000+00:00,10033,1012.1,65.0,108,27.3,1.3,1259,43.0,0
2025-05-04T19:19:44.947000+00:00,10033,1012.1,65.0,67,27.4,0.9,1259,43.0,0
2025-05-04T19:20:44.962000+00:00,10033,1012.2,66.0,80,27.6,0.8,1259,42.9,0
2025-05-04T19:21:44.984000+00:00,10033,1012.2,65.0,98,27.8,1.4,1259,44.1,0
2025-05-04T19:22:44.979000+00:00,10033,1012.4,63.0,66,28.0,1.5,1259,44.5,0
2025-05-04T19:23:44.986000+00:00,10033,1012.5,63.0,0,27.9,0.7,1259,44.5,0
2025-05-04T19:24:44.984000+00:00,10033,1012.5,59.0,89,27.9,0.4,1259,45.2,0
2025-05-04T19:25:44.986000+00:00,10033,1012.5,60.0,7,27.8,1.4,1259,44.6,0
