date,session_key,meeting_key,stop_duration,pit_duration,lap_number,lane_duration,driver_number
2025-05-04T20:34:44.021000+00:00,10033,1259,2.2,22.188,19,22.188,5
2025-05-04T20:36:21.748000+00:00,10033,1259,2.5,22.317,20,22.317,18
2025-05-04T20:39:20.295000+00:00,10033,1259,2.3,22.115,22,22.115,6
2025-05-04T20:40:53.467000+00:00,10033,1259,3.0,23.162,23,23.162,31
2025-05-04T20:43:43.128000+00:00,10033,1259,4.4,24.383,25,24.383,12
2025-05-04T20:43:47.326000+00:00,10033,1259,2.9,22.415,25,22.415,55
2025-05-04T20:45:11.303000+00:00,10033,1259,2.7,22.501,26,22.501,1
2025-05-04T20:45:15.024000+00:00,10033,1259,2.5,21.906,26,21.906,23
2025-05-04T20:46:56.575000+00:00,10033,1259,2.3,22.56,27,22.56,22
2025-05-04T20:48:37.887000+00:00,10033,1259,3.4,23.104,28,23.104,44
2025-05-04T20:49:02.324000+00:00,10033,1259,3.6,23.602,28,23.602,14
2025-05-04T20:49:36.837000+00:00,10033,1259,2.5,22.439,28,22.439,30
2025-05-04T20:49:50.673000+00:00,10033,1259,2.2,22.106,29,22.106,81
2025-05-04T20:50:02.131000+00:00,10033,1259,2.3,22.044,29,22.044,4
2025-05-04T20:50:24.094000+00:00,10033,1259,4.5,24.257,29,24.257,63
2025-05-04T20:50:32.175000+00:00,10033,1259,2.3,22.183,29,22.183,16
2025-05-04T20:55:38.007000+00:00,10033,1259,2.3,22.06,32,22.06,10
2025-05-04T21:02:11.272000+00:00,10033,1259,2.5,22.108,36,22.108,27
