date,session_key,pit_duration,meeting_key,driver_number,lap_number,lane_duration,stop_duration
2025-04-13T15:12:43.873000+00:00,10014,24.2,1257,27,5,24.2,
2025-04-13T15:14:22.192000+00:00,10014,25.265,1257,6,6,25.265,3.5
2025-04-13T15:17:35.761000+00:00,10014,24.876,1257,31,8,24.876,2.6
2025-04-13T15:19:15.767000+00:00,10014,24.791,1257,7,9,24.791,2.8
2025-04-13T15:20:47.938000+00:00,10014,29.822,1257,4,10,29.822,7.7
2025-04-13T15:20:49.907000+00:00,10014,25.033,1257,10,10,25.033,2.8
2025-04-13T15:20:52.266000+00:00,10014,26.518,1257,1,10,26.518,4.7
2025-04-13T15:22:35.432000+00:00,10014,26.493,1257,22,11,26.493,4.2
2025-04-13T15:24:07.047000+00:00,10014,24.807,1257,12,12,24.807,2.5
2025-04-13T15:24:25.037000+00:00,10014,24.611,1257,18,12,24.611,2.4
2025-04-13T15:25:38.508000+00:00,10014,24.044,1257,63,13,24.044,2.2
2025-04-13T15:26:07.068000+00:00,10014,24.143,1257,5,13,24.143,2.2
2025-04-13T15:27:13.344000+00:00,10014,24.498,1257,81,14,24.498,2.3
2025-04-13T15:27:36.042000+00:00,10014,24.6,1257,55,14,24.6,2.9
2025-04-13T15:27:38.565000+00:00,10014,24.562,1257,87,14,24.562,2.9
2025-04-13T15:27:44.924000+00:00,10014,25.242,1257,30,14,25.242,3.1
2025-04-13T15:30:58.785000+00:00,10014,25.394,1257,23,16,25.394,3.6
2025-04-13T15:31:03.591000+00:00,10014,24.826,1257,14,16,24.826,2.7
2025-04-13T15:32:17.130000+00:00,10014,24.802,1257,16,17,24.802,2.6
2025-04-13T15:32:26.694000+00:00,10014,24.34,1257,44,17,24.34,2.3
2025-04-13T15:47:39.342000+00:00,10014,28.067,1257,1,26,28.067,6.2
2025-04-13T15:49:11.397000+00:00,10014,24.832,1257,31,27,24.832,2.7
2025-04-13T15:49:11.833000+00:00,10014,24.506,1257,12,27,24.506,2.8
2025-04-13T15:49:32.563000+00:00,10014,24.2,1257,27,27,24.2,
2025-04-13T15:50:43.738000+00:00,10014,24.958,1257,10,28,24.958,2.8
2025-04-13T15:50:56.202000+00:00,10014,25.093,1257,7,28,25.093,3.1
2025-04-13T15:51:07.542000+00:00,10014,24.64,1257,6,28,24.64,2.9
2025-04-13T15:57:04.064000+00:00,10014,24.9,1257,81,32,24.9,2.9
2025-04-13T15:57:12.763000+00:00,10014,24.1,1257,63,32,24.1,2.4
2025-04-13T15:57:14.330000+00:00,10014,24.241,1257,16,32,24.241,2.4
2025-04-13T15:57:16.814000+00:00,10014,24.035,1257,4,32,24.035,2.3
2025-04-13T15:57:30.119000+00:00,10014,24.35,1257,44,32,24.35,2.1
2025-04-13T15:57:56.692000+00:00,10014,24.315,1257,55,32,24.315,2.6
2025-04-13T15:57:58.398000+00:00,10014,24.771,1257,22,32,24.771,2.4
2025-04-13T15:58:03.317000+00:00,10014,24.895,1257,87,32,24.895,3.5
2025-04-13T15:58:03.712000+00:00,10014,25.99,1257,23,32,25.99,2.6
2025-04-13T15:58:06.819000+00:00,10014,24.693,1257,12,32,24.693,2.9
2025-04-13T15:58:10.059000+00:00,10014,24.846,1257,14,32,24.846,2.6
2025-04-13T15:58:20.848000+00:00,10014,24.191,1257,30,32,24.191,2.3
2025-04-13T15:58:22.181000+00:00,10014,24.592,1257,18,32,24.592,2.8
2025-04-13T15:58:30.418000+00:00,10014,25.396,1257,5,32,25.396,3.3
2025-04-13T16:19:49.065000+00:00,10014,37.116,1257,55,44,37.116,15.1
